time,open,high,low,close,Volume,Volume MA,ATR
1740979320,2441.01,2446.76,2439.71,2443.88,16817.883,55104.05272413796,23.028796531107222
1740980700,2443.87,2450,2431.25,2433.46,23598.476,53396.01641379313,22.723168207456705
1740982080,2433.55,2439.01,2420.11,2421.45,51712.387,53483.04079310348,22.450084764066947
1740983460,2421.46,2422.53,2361.72,2363.77,181077.461,57827.030275862104,25.190078709490766
1740984840,2363.9,2383.52,2351.68,2377.98,152025.889,60725.8232758621,25.665073087384293
1740986220,2377.86,2382.97,2368.5,2378.22,52205.89,59028.66851724141,24.86542500971397
1740987600,2378.22,2390.4,2372.34,2382.77,49541.899,58864.90496551727,24.379323223305825
1740988980,2382.77,2386.96,2358.01,2359.27,51640.009,58366.575310344866,24.705800135926825
1740990360,2359.14,2373.84,2345.6,2348.79,72162.436,57786.670965517274,24.95824298336064
1740991740,2348.67,2354.45,2331.13,2349.89,116040.455,60297.60400000004,24.84122562740629
1740993120,2350.42,2352.26,2321.03,2347.96,92334.764,62565.9580344828,25.297566654020127
1740994500,2347.97,2353.57,2337.64,2350.13,52754.783,62386.1080344828,24.62845475016157
1740995880,2350.5,2365.32,2339.4,2357.83,70840.204,61792.289655172455,24.72070798229289
1740997260,2357.83,2363.19,2352.35,2359.03,37557.346,60866.73148275866,23.72922884070055
1740998640,2359.03,2360.47,2348.2,2354.51,39736.735,61655.547862069005,22.910712494936224
1741000020,2354.51,2361.95,2343.35,2352.79,46464.42,59065.5274482759,22.60280445958363
1741001400,2352.78,2357.49,2350.79,2351.23,22139.073,57763.86234482763,21.466889855327643
1741002780,2351.24,2375.59,2349.58,2362.29,75708.675,58517.466620689695,21.791397722804255
1741004160,2362.29,2365.36,2350.93,2358.02,53158.938,58356.6804482759,21.26558359974683
1741005540,2358.02,2373.3,2357.76,2371.74,42798.297,58185.2580344828,20.85661334262205
1741006920,2371.91,2375.5,2360.26,2370.84,52217.035,57697.48206896555,20.455426675291886
1741008300,2370.71,2387.99,2364.24,2376.93,72031.621,57311.9114482759,20.690753341342464
1741009680,2376.71,2380.68,2368.62,2376.22,48546.703,57198.043241379346,20.074270959817998
1741011060,2376.23,2378.49,2346.1,2359.76,104430.569,59068.80706896555,20.95396589125956
1741012440,2359.51,2363.3,2276.06,2284.83,254909.742,66619.19979310349,25.688682613312466
1741013820,2284.54,2300.67,2266.43,2280,246806.983,74435.60420689659,26.29949099807588
1741015200,2279.8,2308.82,2279.28,2296.99,158025.213,78812.88100000004,26.530955926784742
1741016580,2296.88,2301.57,2284.59,2292.34,51945.38,79839.81534482761,25.84874478915726
1741017960,2292.34,2295.73,2256.97,2286.07,134335.635,83571.20348275863,26.77097730421747
1741019340,2286.06,2287.59,2271.36,2283.97,70880.698,85435.43848275863,26.018050353916227
1741020720,2283.96,2287.31,2264.16,2270.41,66686.394,86921.22875862071,25.81318961435079
1741022100,2270.76,2288.29,2266,2284.58,60312.693,87217.79103448277,25.56153321332573
1741023480,2284.58,2295.83,2272.01,2278.82,59083.527,83011.10365517241,25.437137983802444
1741024860,2279.03,2279.14,2228.2,2231.83,168743.295,83587.56593103448,27.25877098495942
1741026240,2231.65,2240.84,2180.26,2194.74,255652.677,90602.97237931035,29.638858771748026
1741027620,2195.14,2209.47,2177.23,2191.22,182797.29,95197.98586206896,29.824654573766008
1741029000,2191.04,2192.98,2148.49,2184.29,200537.287,100332.37475862069,30.872179247068452
1741030380,2184.5,2190.56,2100.67,2113.62,159617.144,103348.05434482757,35.087737872277835
1741031760,2113.84,2139,2095.48,2129.53,268276.022,108597.55665517239,35.69004230997227
1741033140,2129.36,2134.74,2095.96,2099.2,141997.89,110310.07824137929,35.91075357354566
1741034520,2099.23,2136.25,2097.21,2127.43,126242.454,112844.13586206894,36.13427117543525
1741035900,2127.07,2143.05,2122,2132.43,61816.419,112532.97086206896,35.05682323433275
1741037280,2132.3,2145.69,2116.86,2117.67,51598.331,113017.14275862068,34.61205014616612
1741038660,2117.9,2135.4,2102.32,2127.09,105130.128,115272.08734482758,34.50261799286854
1741040040,2127.09,2148.8,2126.83,2146,52897.925,115493.93234482758,33.607430993377946
1741041420,2146,2172.46,2141.16,2165.01,71469.998,117194.99872413793,33.44261449385096
1741042800,2164.76,2164.95,2145.04,2158.43,57797.078,116577.35744827587,32.48028488714734
1741044180,2158.69,2163.78,2150.3,2156.68,37521.694,116038.14213793105,31.123121680922534
1741045560,2156.9,2157.26,2141.9,2148.22,27192.907,115500.02524137934,29.997184417999506
1741046400,2148.22,2166.21,2139.17,2156.26,74663.016,116274.02458620691,29.785956959570967
1741047780,2156.13,2156.58,2125.18,2133.55,83700.246,116676.39096551726,29.901245748173046
1741049160,2133.55,2135.98,2121.01,2122.88,74590.772,117574.46231034482,28.8347281947321
1741050540,2122.76,2126.61,2100.41,2116.8,116178.874,117979.57627586207,28.646533323679826
1741051920,2117.29,2117.3,2024.37,2068.24,359431.492,121583.77455172413,33.23820951484557
1741053300,2067.85,2074.3,2001.7,2034.16,262581.034,122127.70734482758,36.0497659780709
1741054680,2034.8,2073.8,2024.47,2061.3,138373.113,121450.04872413792,36.99835412249441
1741056060,2061.1,2080.43,2055.2,2069.38,80479.733,122433.99193103447,36.1577573994591
1741057440,2069.6,2078.02,2053.28,2066.71,75426.022,120402.62596551723,35.34220329949772
1741058820,2066.6,2074.59,2058.56,2068.13,42586.007,119426.94696551726,33.962760206676464
1741060200,2068.13,2091.19,2067.91,2083.47,82967.241,119988.35548275863,33.19970590619959
1741061580,2083.4,2092.46,2078.17,2083.09,48146.93,119568.84641379313,31.849012627185328
1741062960,2083.09,2091.52,2075.29,2079.57,42186.322,118986.1841724138,30.733368868100662
1741064340,2079.6,2121.04,2077.01,2093.8,128885.625,117611.78175862071,31.68312823466488
1741065720,2093.79,2108.77,2093.53,2102.02,54085.633,110661.19403448277,30.508619075045946
1741067100,2101.92,2110.69,2098.04,2104.97,44449.911,105890.59475862069,29.233003426828386
1741068480,2104.95,2108,2092.01,2105.92,46074.094,100564.2777586207,28.287074610626345
1741069860,2105.79,2107.29,2089.1,2097.65,38412.961,96384.8231724138,27.56585499558161
1741071240,2097.64,2102.21,2070.92,2078.8,73477.165,89667.62120689657,27.83186535304006
